region,lat,lon,soil_attribute,unit,upper_depth_cm,lower_depth_cm,value,lower_uncertainty,upper_uncertainty
Queensland,-27.5,151.5,SILT,%,30.0,60.0,13.465764999389648,6.794773101806641,22.396244049072266
Queensland,-27.5,151.5,SILT,%,60.0,100.0,13.431118965148926,6.601996898651123,22.66010284423828
Queensland,-27.5,151.5,SILT,%,100.0,200.0,13.77291202545166,6.670219898223877,23.42267608642578
Queensland,-27.5,151.5,TOTAL_N,%,0.0,5.0,0.13347187638282776,0.03310113400220871,0.482450008392334
Queensland,-27.5,151.5,TOTAL_N,%,5.0,15.0,0.12299361079931259,0.027737004682421684,0.4887445271015167
Queensland,-27.5,151.5,TOTAL_N,%,15.0,30.0,0.10387538373470306,0.02500305511057377,0.4032318890094757
Queensland,-27.5,151.5,TOTAL_N,%,30.0,60.0,0.06543929129838943,0.016295671463012695,0.24852584302425385
Queensland,-27.5,151.5,TOTAL_N,%,60.0,100.0,0.0416083000600338,0.010957548394799232,0.15264645218849182
Queensland,-27.5,151.5,TOTAL_N,%,100.0,200.0,0.030321136116981506,0.00803204532712698,0.1133330836892128
Queensland,-27.5,151.5,TOTAL_P,%,0.0,5.0,0.06771691888570786,0.04916691780090332,0.10011691600084305
Queensland,-27.5,151.5,TOTAL_P,%,5.0,15.0,0.06421583145856857,0.015027139335870743,0.26756566762924194
Queensland,-27.5,151.5,TOTAL_P,%,15.0,30.0,0.051169950515031815,0.01216920092701912,0.210055410861969
Queensland,-27.5,151.5,TOTAL_P,%,30.0,60.0,0.04360689967870712,0.010439016856253147,0.1812223196029663
Queensland,-27.5,151.5,TOTAL_P,%,60.0,100.0,0.03860443830490112,0.009351001121103764,0.1681680828332901
Queensland,-27.5,151.5,TOTAL_P,%,100.0,200.0,0.03744817525148392,0.008950603194534779,0.16284939646720886
Queensland,-27.5,151.5,ECEC,meq/100g,0.0,5.0,30.199691772460938,5.683140277862549,174.81338500976562
Queensland,-27.5,151.5,ECEC,meq/100g,5.0,15.0,29.749448776245117,5.5588579177856445,171.1575469970703
