protocol,fold,forecast_window,feature_set,model,target,task,metric,value,n_test,threshold
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Brier,0.1688736570187304,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,F1,0.3130434782608696,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Recall,0.6666666666666666,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Precision,0.20454545454545456,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.4697986577181208,149,0.030975558368142697
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.5406800242865817,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.2096489543018203,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Brier,0.17239016276290373,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,F1,0.2247191011235955,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Recall,0.37037037037037035,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Precision,0.16129032258064516,149,0.2144799500533655
time_split,primary,May-Jun,weather_plus_soil,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.5369127516778524,149,0.2144799500533655
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,MAE,0.6913431848359817,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,RMSE,1.0124951656655747,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,Ridge,yield_t_ha,regression,R2,0.360174938370574,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,MAE,0.6694966246758866,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,RMSE,0.9920565147996646,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,ElasticNet,yield_t_ha,regression,R2,0.38574576767979396,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,MAE,0.6584855637474262,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,RMSE,0.9213392432804131,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBM,yield_t_ha,regression,R2,0.4701969304215309,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,MAE,0.6759573596454713,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,RMSE,0.9334599527908702,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoost,yield_t_ha,regression,R2,0.4561655541020122,149,
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.46083788706739526,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,PR_AUC,0.16923596991041345,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,Brier,0.31053912173996717,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,F1,0.2595419847328244,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,Recall,0.6296296296296297,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,Precision,0.16346153846153846,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LogisticRegression,low_yield_risk,classification,Accuracy,0.348993288590604,149,0.2869279596958399
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.5980570734669095,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.21922870147914683,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,Brier,0.1839446488123352,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,F1,0.33112582781456956,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,Recall,0.9259259259259259,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,Precision,0.20161290322580644,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.3221476510067114,149,0.010607868513852446
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.5151791135397693,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.18422265223581955,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,Brier,0.18678038046166118,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,F1,0.3333333333333333,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,Recall,0.7777777777777778,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,Precision,0.21212121212121213,149,0.12583443508350553
time_split,primary,May-Jun,weather_anomaly_soil_no_lag,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.436241610738255,149,0.12583443508350553
time_split,primary,May-Jun,lag_yield_only,Ridge,yield_t_ha,regression,MAE,0.5909066538095353,149,
time_split,primary,May-Jun,lag_yield_only,Ridge,yield_t_ha,regression,RMSE,0.8078947767539951,149,
time_split,primary,May-Jun,lag_yield_only,Ridge,yield_t_ha,regression,R2,0.5926338568497613,149,
time_split,primary,May-Jun,lag_yield_only,ElasticNet,yield_t_ha,regression,MAE,0.5922311724784769,149,
time_split,primary,May-Jun,lag_yield_only,ElasticNet,yield_t_ha,regression,RMSE,0.8049328179680206,149,
time_split,primary,May-Jun,lag_yield_only,ElasticNet,yield_t_ha,regression,R2,0.595615408157687,149,
time_split,primary,May-Jun,lag_yield_only,LightGBM,yield_t_ha,regression,MAE,0.6169334432950075,149,
time_split,primary,May-Jun,lag_yield_only,LightGBM,yield_t_ha,regression,RMSE,0.8263626436261627,149,
time_split,primary,May-Jun,lag_yield_only,LightGBM,yield_t_ha,regression,R2,0.5737968224265425,149,
time_split,primary,May-Jun,lag_yield_only,CatBoost,yield_t_ha,regression,MAE,0.5927607418045674,149,
time_split,primary,May-Jun,lag_yield_only,CatBoost,yield_t_ha,regression,RMSE,0.8001539110049523,149,
time_split,primary,May-Jun,lag_yield_only,CatBoost,yield_t_ha,regression,R2,0.600402837863486,149,
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.4429265330904675,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,PR_AUC,0.16036241333904688,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,Brier,0.4036820914157422,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,F1,0.1590909090909091,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,Recall,0.25925925925925924,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,Precision,0.11475409836065574,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LogisticRegression,low_yield_risk,classification,Accuracy,0.5033557046979866,149,0.7020134182659582
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.5159380692167578,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.19735555692658768,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,Brier,0.16723103493944663,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,F1,0.05555555555555555,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,Recall,0.037037037037037035,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,Precision,0.1111111111111111,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,LightGBMClassifier,low_yield_risk,classification,Accuracy,0.7718120805369127,149,0.14396876280553744
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,ROC_AUC,0.45780206435944143,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,PR_AUC,0.17206859020764886,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,Brier,0.15885245337448806,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,F1,0.05555555555555555,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,Recall,0.037037037037037035,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,Precision,0.1111111111111111,149,0.30098005616246026
time_split,primary,May-Jun,lag_yield_only,CatBoostClassifier,low_yield_risk,classification,Accuracy,0.7718120805369127,149,0.30098005616246026
time_split,primary,May-Jun,full_operational,Ridge,yield_t_ha,regression,MAE,0.5728494071955575,149,
time_split,primary,May-Jun,full_operational,Ridge,yield_t_ha,regression,RMSE,0.7470145760044083,149,
time_split,primary,May-Jun,full_operational,Ridge,yield_t_ha,regression,R2,0.6517160328869225,149,
time_split,primary,May-Jun,full_operational,ElasticNet,yield_t_ha,regression,MAE,0.5448993400953628,149,
time_split,primary,May-Jun,full_operational,ElasticNet,yield_t_ha,regression,RMSE,0.7209454782432281,149,
time_split,primary,May-Jun,full_operational,ElasticNet,yield_t_ha,regression,R2,0.675600500714467,149,
time_split,primary,May-Jun,full_operational,LightGBM,yield_t_ha,regression,MAE,0.6417459338390283,149,
time_split,primary,May-Jun,full_operational,LightGBM,yield_t_ha,regression,RMSE,0.8609460161962245,149,
time_split,primary,May-Jun,full_operational,LightGBM,yield_t_ha,regression,R2,0.5373770515297016,149,
time_split,primary,May-Jun,full_operational,CatBoost,yield_t_ha,regression,MAE,0.6118671158578535,149,
time_split,primary,May-Jun,full_operational,CatBoost,yield_t_ha,regression,RMSE,0.8405279989850121,149,
time_split,primary,May-Jun,full_operational,CatBoost,yield_t_ha,regression,R2,0.5590597942747602,149,
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,ROC_AUC,0.48451730418943534,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,PR_AUC,0.17699185105791593,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,Brier,0.24971297882297525,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,F1,0.2803738317757009,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,Recall,0.5555555555555556,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,Precision,0.1875,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LogisticRegression,low_yield_risk,classification,Accuracy,0.48322147651006714,149,0.20965348750745127
time_split,primary,May-Jun,full_operational,LightGBMClassifier,low_yield_risk,classification,ROC_AUC,0.544019429265331,149,0.02840589747104375
time_split,primary,May-Jun,full_operational,LightGBMClassifier,low_yield_risk,classification,PR_AUC,0.19849026785426277,149,0.02840589747104375
time_split,primary,May-Jun,full_operational,LightGBMClassifier,low_yield_risk,classification,Brier,0.18762055977478442,149,0.02840589747104375
