forecast_window,model,strategy,threshold,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1,test_accuracy,test_brier,test_roc_auc,test_pr_auc,test_positive_rate,n_test
May-Sep,HistGradientBoostingClassifier,precision_ge_0_3,0.63,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.28169014084507044,0.7407407407407407,0.40816326530612246,0.610738255033557,0.19740211874393754,0.6938372799028536,0.2694019731348358,0.47651006711409394,149
May-Sep,LightGBMClassifier,best_f1,0.5,0.5,0.5384615384615384,0.5185185185185185,0.2692307692307692,0.7777777777777778,0.4,0.5771812080536913,0.16842691790459494,0.6759259259259259,0.2609320005207926,0.5234899328859061,149
May-Sep,LightGBMClassifier,recall_ge_0_5,0.5,0.5,0.5384615384615384,0.5185185185185185,0.2692307692307692,0.7777777777777778,0.4,0.5771812080536913,0.16842691790459494,0.6759259259259259,0.2609320005207926,0.5234899328859061,149
May-Sep,LightGBMClassifier,precision_ge_0_3,0.14,0.3076923076923077,0.9230769230769231,0.46153846153846156,0.22727272727272727,0.9259259259259259,0.36496350364963503,0.4161073825503356,0.16842691790459494,0.6759259259259259,0.2609320005207926,0.738255033557047,149
May-Sep,CatBoostClassifier,best_f1,0.33,0.4230769230769231,0.8461538461538461,0.5641025641025641,0.25,0.8888888888888888,0.3902439024390244,0.4966442953020134,0.16635610198292552,0.744535519125683,0.32293319377273677,0.6442953020134228,149
May-Sep,CatBoostClassifier,recall_ge_0_5,0.33,0.4230769230769231,0.8461538461538461,0.5641025641025641,0.25,0.8888888888888888,0.3902439024390244,0.4966442953020134,0.16635610198292552,0.744535519125683,0.32293319377273677,0.6442953020134228,149
May-Sep,CatBoostClassifier,precision_ge_0_3,0.11,0.30952380952380953,1.0,0.4727272727272727,0.2231404958677686,1.0,0.36486486486486486,0.3691275167785235,0.16635610198292552,0.744535519125683,0.32293319377273677,0.8120805369127517,149
May-Oct,LogisticRegression,best_f1,0.25,0.2765957446808511,1.0,0.43333333333333335,0.30864197530864196,0.9259259259259259,0.46296296296296297,0.610738255033557,0.1348246872102882,0.7970552519732848,0.3904661429803322,0.5436241610738255,149
May-Oct,LogisticRegression,recall_ge_0_5,0.25,0.2765957446808511,1.0,0.43333333333333335,0.30864197530864196,0.9259259259259259,0.46296296296296297,0.610738255033557,0.1348246872102882,0.7970552519732848,0.3904661429803322,0.5436241610738255,149
May-Oct,LogisticRegression,precision_ge_0_3,0.27,0.3333333333333333,0.3076923076923077,0.32,0.46875,0.5555555555555556,0.5084745762711864,0.8053691275167785,0.1348246872102882,0.7970552519732848,0.3904661429803322,0.21476510067114093,149
May-Oct,HistGradientBoostingClassifier,best_f1,0.36,0.3684210526315789,0.5384615384615384,0.4375,0.3793103448275862,0.4074074074074074,0.39285714285714285,0.7718120805369127,0.14889349621836112,0.6287188828172434,0.2761903678816332,0.19463087248322147,149
